# T6 Docs Claims Extraction

Package version (actual, from package.json): 1.2.7
Generated: 2026-04-17
Scope: Quantitative/factual claims extracted verbatim or tight-paraphrased from repo docs.
Redaction: No host paths, emails, or tokens included.

Categories:
  command | path | feature | storage-location | port-number | env-var |
  api-behavior | platform | version | security-guarantee | privacy-statement |
  performance-claim | version-compat

===============================================================================
CLAIMS TABLE
===============================================================================

| File | Line | Claim (verbatim or tight paraphrase) | Category | Expected Verification Source |
|---|---|---|---|---|
| AGENTS.md | 3 | "Generated: 2026-03-01" | version | git log / package.json / file mtime (drift: file mtime 2026-04-17) |
| AGENTS.md | 4 | "Commit: 9ac8a84" | version | git rev-parse HEAD |
| AGENTS.md | 5 | "Branch: main" | version | git branch --show-current |
| AGENTS.md | 8 | Plugin "intercepts OpenAI SDK calls, routes through ChatGPT Codex backend with multi-account OAuth rotation" | feature | index.ts plugin entry |
| AGENTS.md | 13 | "index.ts # plugin entry (7-step fetch pipeline, tool registration)" | feature | index.ts |
| AGENTS.md | 46 | "OAuth flow + PKCE | lib/auth/auth.ts | REDIRECT_URI = 127.0.0.1:1455" | port-number | lib/auth/auth.ts REDIRECT_URI constant |
| AGENTS.md | 47 | "OAuth callback server | lib/auth/server.ts | binds port 1455" | port-number | lib/auth/server.ts listen call |
| AGENTS.md | 62 | "settings-hub.ts ... extracted interactive settings (2100 lines), Q = cancel without save" | feature | wc -l lib/codex-manager/settings-hub.ts |
| AGENTS.md | 73 | "vitest globals, 80% coverage threshold, 87 files, 2071 tests" | performance-claim | vitest.config.ts + npm test run (KNOWN STALE vs v1.2.7) |
| AGENTS.md | 80 | "ESM only (\"type\": \"module\"), Node >= 18." | platform | package.json type + engines |
| AGENTS.md | 89 | "Do not hardcode ports other than 1455 for OAuth server." | port-number | grep for port literals |
| AGENTS.md | 97 | "npm test # vitest once (87 files, 2071 tests)" | performance-claim | npm test output |
| AGENTS.md | 106 | "OAuth callback: http://127.0.0.1:1455/auth/callback." | port-number | lib/auth/auth.ts REDIRECT_URI |
| AGENTS.md | 107 | "ChatGPT backend requires store: false, include reasoning.encrypted_content." | api-behavior | lib/request/request-transformer.ts |
| AGENTS.md | 108 | "Per-project accounts: ~/.codex/multi-auth/projects/<project-key>/openai-codex-accounts.json" | storage-location | lib/storage.ts + lib/storage/paths.ts |
| AGENTS.md | 109 | "Global accounts: ~/.codex/multi-auth/openai-codex-accounts.json" | storage-location | lib/storage.ts |
| AGENTS.md | 117 | "Settings writes use queued retry with EBUSY/EPERM/EAGAIN backoff (max 4 retries, exponential)." | api-behavior | lib/unified-settings.ts |
| README.md | 6 | "Codex CLI-first multi-account OAuth manager for the official Codex CLI" | feature | product positioning |
| README.md | 19 | "Project-scoped account storage under ~/.codex/multi-auth/projects/<project-key>/..." | storage-location | lib/storage/paths.ts |
| README.md | 55 | "npm i -g codex-multi-auth" | command | npm registry + package.json name |
| README.md | 208 | "Settings | ~/.codex/multi-auth/settings.json" | storage-location | lib/unified-settings.ts |
| README.md | 209 | "Accounts | ~/.codex/multi-auth/openai-codex-accounts.json" | storage-location | lib/storage.ts |
| README.md | 210 | "Flagged accounts | ~/.codex/multi-auth/openai-codex-flagged-accounts.json" | storage-location | lib/storage.ts |
| README.md | 211 | "Quota cache | ~/.codex/multi-auth/quota-cache.json" | storage-location | lib/quota-cache.ts |
| README.md | 212 | "Runtime observability | ~/.codex/multi-auth/runtime-observability.json" | storage-location | lib/codex-cli/ observability |
| README.md | 213 | "Logs | ~/.codex/multi-auth/logs/codex-plugin/" | storage-location | lib/logger.ts |
| README.md | 216 | "Override root with CODEX_MULTI_AUTH_DIR=<path>." | env-var | lib/runtime-paths.ts |
| README.md | 230 | "CODEX_MULTI_AUTH_DIR | Override settings/accounts root" | env-var | lib/runtime-paths.ts |
| README.md | 231 | "CODEX_MULTI_AUTH_CONFIG_PATH | Alternate config file path" | env-var | lib/config.ts |
| README.md | 232 | "CODEX_MODE=0/1 | Disable/enable Codex mode" | env-var | lib/config.ts |
| README.md | 236 | "CODEX_AUTH_BACKGROUND_RESPONSES=0/1 | Opt in/out of stateful Responses background:true compatibility" | env-var | lib/request/request-transformer.ts |
